date_time,temp,clouds_all,rain_1h,traffic_volume,toll_collected
01-01-2022 00:00,20.97627008,59.28802708,8.115184706,92,28.01526122
01-01-2022 01:00,24.30378733,1.006369566,4.76083986,50,31.19280663
01-01-2022 02:00,22.05526752,47.58261959,5.2315599,78,23.10480492
01-01-2022 03:00,20.89766366,70.87703909,2.505205864,83,23.63856261
01-01-2022 04:00,18.47309599,4.397543202,6.050430168,46,37.23571242
01-01-2022 05:00,22.91788226,87.9521483,3.029048087,96,38.92230924
01-01-2022 06:00,18.75174423,52.00814166,5.772840145,75,27.46618633
01-01-2022 07:00,27.83546002,3.066104833,1.696781156,54,25.41489346
01-01-2022 08:00,29.27325521,22.44136119,1.594690923,73,32.87999086
01-01-2022 09:00,17.66883038,95.36756964,4.170297412,85,28.17468342
01-01-2022 10:00,25.83450076,58.23197331,4.268195151,84,20.50772711
01-01-2022 11:00,20.5778984,10.74725678,2.681092649,42,23.12305195
01-01-2022 12:00,21.36089122,28.75445023,1.315968504,57,34.31944458
01-01-2022 13:00,28.51193277,45.67036259,0.392105392,79,33.17847884
01-01-2022 14:00,11.42072116,2.095006927,0.252318273,27,20.54191985
01-01-2022 15:00,11.74258599,41.16155136,2.7155029,48,24.43944324
01-01-2022 16:00,10.40436795,48.94586354,4.618534422,44,24.62149593
01-01-2022 17:00,26.65239691,24.36778753,7.262432813,81,33.43785487
01-01-2022 18:00,25.56313502,58.86390003,4.748717007,87,20.39421076
01-01-2022 19:00,27.40024296,75.32401196,9.040508194,108,22.08217164
01-01-2022 20:00,29.57236684,23.58342241,0.352198046,76,35.99832171
01-01-2022 21:00,25.98317128,62.04999003,1.806606215,93,23.57089324
01-01-2022 22:00,19.22958725,63.9622243,3.385144928,85,33.05492216
01-01-2022 23:00,25.61058353,94.85403011,5.774961881,107,24.76365562
02-01-2022 00:00,12.36548852,77.82761673,8.527361579,78,21.98882786
02-01-2022 01:00,22.79842043,84.83452698,3.50201952,88,24.86344382
02-01-2022 02:00,12.86706575,49.04199084,2.679886825,60,34.44533864
02-01-2022 03:00,28.89337834,18.5348587,0.618891688,62,37.11392936
02-01-2022 04:00,20.43696644,99.5815293,8.213034777,94,36.60439729
02-01-2022 05:00,18.2932388,12.9355761,3.796664432,53,27.94367059
02-01-2022 06:00,15.29111224,47.14573194,5.715501954,60,33.36170273
02-01-2022 07:00,25.48467379,6.809309924,9.835554182,73,24.09968591
02-01-2022 08:00,19.12300664,94.38508574,0.015945706,88,25.86295461
02-01-2022 09:00,21.36867898,96.49249408,1.454501407,85,37.92671637
02-01-2022 10:00,10.37579601,71.9389062,7.79110994,55,20.26003847
02-01-2022 11:00,22.35270994,34.99928436,8.051274852,69,21.71017062
02-01-2022 12:00,22.24191445,25.43824011,7.69247119,69,24.1577251
02-01-2022 13:00,22.33867994,26.53033245,5.36998891,60,20.53064408
02-01-2022 14:00,28.87496157,12.72940254,9.78856981,76,23.6287087
02-01-2022 15:00,23.63640598,52.58089531,3.9618456,72,31.66083122
02-01-2022 16:00,17.19015801,14.18172757,6.019436981,51,28.42849101
02-01-2022 17:00,18.74063908,31.67306666,0.633690045,55,37.85343422
02-01-2022 18:00,23.95262392,62.6706476,4.098574499,83,36.34887123
02-01-2022 19:00,11.20450943,72.75436096,7.225000875,77,26.83634703
02-01-2022 20:00,23.33533431,2.427270462,2.387388408,59,25.18846867
02-01-2022 21:00,23.41275739,43.01159844,9.438275891,85,27.59384816
02-01-2022 22:00,14.20765122,65.21245948,6.867833676,62,31.80589885
02-01-2022 23:00,12.57852595,85.32459762,2.875753829,67,25.36127282
03-01-2022 00:00,16.30856702,47.53247822,7.689989227,70,32.48297816
03-01-2022 01:00,17.27421542,96.92058717,0.831647718,81,28.18823304
03-01-2022 02:00,21.40393541,26.56325475,9.747744225,68,31.04094362
03-01-2022 03:00,18.77203027,1.350870663,0.492852591,43,28.72253058
03-01-2022 04:00,29.76747676,48.37528647,9.334558911,100,25.88931519
03-01-2022 05:00,12.04089621,25.6113795,2.528538777,47,38.96906614
03-01-2022 06:00,14.17753512,82.3717672,7.578241077,79,35.27211588
03-01-2022 07:00,13.22619036,23.27726722,0.000736994,45,22.80226352
03-01-2022 08:00,23.06216651,31.06292183,2.542400892,63,37.36935952
03-01-2022 09:00,15.06583205,79.1227431,7.491006066,88,29.74862396
03-01-2022 10:00,19.32621546,71.5143252,5.323360709,83,37.89104454
03-01-2022 11:00,14.88851184,55.80512367,1.149521496,55,35.99710512
03-01-2022 12:00,13.17939167,70.49480619,3.936297458,59,28.50427009
03-01-2022 13:00,12.20750282,41.86368636,3.755493551,49,20.44938617
03-01-2022 14:00,23.12659179,0.531004761,5.681622442,54,25.37354719
03-01-2022 15:00,12.76365903,1.135512851,6.679770725,40,30.83268429
03-01-2022 16:00,13.93164723,51.12217876,8.408302424,65,32.6695644
03-01-2022 17:00,17.37450341,8.329097972,4.97231397,44,25.15775371
03-01-2022 18:00,26.4198646,5.107548017,3.920217173,67,22.78712148
03-01-2022 19:00,11.94202552,96.55166391,1.439765341,73,36.69860474
03-01-2022 20:00,26.75889815,85.90026397,8.04822965,106,39.68804361
03-01-2022 21:00,11.92196816,15.20272272,7.133704054,45,30.51380365
03-01-2022 22:00,29.5291893,0.066421859,4.086773975,63,23.43358572
03-01-2022 23:00,19.37302403,94.16677954,5.184323099,97,25.44614653
04-01-2022 00:00,29.53522176,27.83252983,6.651828444,80,20.36781353
04-01-2022 01:00,22.09691039,18.58976029,1.648055898,55,38.28597613
04-01-2022 02:00,24.78527159,69.15081078,0.271977944,85,22.35502166
04-01-2022 03:00,10.78375585,10.89037388,3.175036992,30,31.53032951
04-01-2022 04:00,15.65613925,26.4649598,5.955850196,53,25.48110441
04-01-2022 05:00,12.40393122,97.50946802,4.866060913,85,31.08356005
04-01-2022 06:00,15.92280395,63.94627745,6.925546269,76,33.02840777
04-01-2022 07:00,12.37455438,52.06777915,8.196898056,65,36.59483607
04-01-2022 08:00,16.35966359,39.79186148,4.884424667,57,24.12842544
04-01-2022 09:00,18.28525989,77.45009549,1.342670237,82,20.21991657
04-01-2022 10:00,11.28294993,14.09574765,8.506279998,46,22.7377126
