date_time,temp,clouds_all,rain_1h,traffic_volume,toll_collected
19-01-2022 16:00,29.37943409,61.52764266,5.846445978,99,13
19-01-2022 17:00,28.09896691,79.24989056,0.912707209,92,43
19-01-2022 18:00,15.9311253,83.56460376,6.004710432,75,23
19-01-2022 19:00,29.84022487,48.34589982,3.815222071,95,33
19-01-2022 20:00,14.98840082,88.11882514,8.675808513,90,30
19-01-2022 21:00,12.1181231,91.64190107,3.130988817,78,39
19-01-2022 22:00,29.01905222,27.15510954,5.765950774,75,10
19-01-2022 23:00,14.66840511,60.75453598,4.265713997,67,46
20-01-2022 00:00,23.7953653,52.65840288,8.762619383,90,22
20-01-2022 01:00,11.16712718,53.79457792,2.53916667,55,18
20-01-2022 02:00,24.61418198,93.7663094,0.788023603,94,24
20-01-2022 03:00,27.63440425,30.51887027,7.48655721,87,29
20-01-2022 04:00,15.44873791,98.34339782,4.128966169,79,48
20-01-2022 05:00,17.58113792,90.21312148,5.890983591,94,32
20-01-2022 06:00,17.48592367,45.87228886,0.263893317,64,31
20-01-2022 07:00,24.97576515,81.74532636,9.521097914,113,48
20-01-2022 08:00,14.75614485,76.90469943,8.776183774,79,24
20-01-2022 09:00,13.43706198,67.78949696,6.238679006,65,33
20-01-2022 10:00,18.98583297,31.98338894,0.170298421,58,24
20-01-2022 11:00,16.08936815,19.64509918,3.77976474,44,26
20-01-2022 12:00,26.78378245,67.15276968,9.787965377,102,30
20-01-2022 13:00,14.75483652,84.29732964,6.813303587,80,35
20-01-2022 14:00,20.04778915,1.625278868,1.609878613,39,13
20-01-2022 15:00,28.85167199,64.28033753,4.605967487,98,28
20-01-2022 16:00,22.67995395,44.28730246,9.667377438,75,20
20-01-2022 17:00,27.34578811,89.80877551,5.347081744,111,26
20-01-2022 18:00,28.80419379,32.14729309,0.24614528,69,40
20-01-2022 19:00,25.01529724,47.41848123,6.197720843,74,36
20-01-2022 20:00,23.9915012,51.4767104,2.712165309,78,20
20-01-2022 21:00,29.35931133,14.04395214,0.988459519,69,37
20-01-2022 22:00,29.88801579,71.28923027,4.029084447,104,37
20-01-2022 23:00,19.03643365,83.04763451,5.585230974,92,32
21-01-2022 00:00,11.41739556,5.79092769,0.17040718,14,44
21-01-2022 01:00,15.85588063,29.13888205,5.590468086,50,20
21-01-2022 02:00,13.04709411,3.804468154,5.112031468,36,17
21-01-2022 03:00,18.3497275,95.65441047,7.939083831,104,42
21-01-2022 04:00,12.62578657,66.71688207,4.235498168,69,44
21-01-2022 05:00,22.08235608,96.42004195,5.534504297,110,41
21-01-2022 06:00,17.65616118,53.14942783,7.420093041,70,15
21-01-2022 07:00,27.90771769,80.20685239,8.971458718,111,50
21-01-2022 08:00,29.35589344,37.44139839,3.80034576,78,35
21-01-2022 09:00,20.93769803,35.38190326,6.016334958,67,44
21-01-2022 10:00,15.4964714,37.82678171,6.946109034,57,10
21-01-2022 11:00,21.84460838,65.78621337,0.432706764,74,18
21-01-2022 12:00,27.93522316,35.9453151,8.007605085,84,48
21-01-2022 13:00,18.13466692,90.03674516,3.774301852,87,42
21-01-2022 14:00,21.04156553,98.32748651,6.702389414,101,10
21-01-2022 15:00,15.43305535,3.042651534,4.716640662,42,24
21-01-2022 16:00,19.10888299,19.36232904,7.023391427,59,26
21-01-2022 17:00,18.03427071,11.22499926,7.243309792,51,26
21-01-2022 18:00,14.9682693,4.236404709,1.915710135,32,28
